#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
100,0.20000000000000015,-539652.2294960944,16988.458494257386,-522663.771001837,61.00140055679772,332.42375028603897,1.0178761332118655,0
200,0.4000000000000003,-528600.2626992194,30033.223115194683,-498567.0395840247,107.84196069825651,332.42375028603897,1.0178761332118655,31.3
300,0.6000000000000004,-519193.1953164069,39943.90343208739,-479249.2918843195,143.4287904277169,332.42375028603897,1.0178761332118655,31.5
400,0.8000000000000006,-511236.8095742194,47757.85477845243,-463478.954795767,171.48677910114887,332.42375028603897,1.0178761332118655,17.5
500,1.0000000000000007,-505141.5029335944,54343.263002097185,-450798.2399314972,195.1333698154492,332.42375028603897,1.0178761332118655,19.4
600,1.2000000000000008,-498477.3652382819,58975.93501702987,-439501.430221252,211.76816227332307,332.42375028603897,1.0178761332118655,21
700,1.400000000000001,-493582.9970742194,62868.34167621375,-430714.6553980056,225.7448428430808,332.42375028603897,1.0178761332118655,22.1
800,1.6000000000000012,-489630.3808632819,65948.58561101614,-423681.79525226576,236.80524565379156,332.42375028603897,1.0178761332118655,23
900,1.8000000000000014,-485901.3134804694,68858.86866519733,-417042.44481527206,247.2553604998076,332.42375028603897,1.0178761332118655,23.7
1000,2.0000000000000013,-482717.50049218815,70945.31283955969,-411772.18765262846,254.74727136757107,332.42375028603897,1.0178761332118655,24.4
1100,2.1999999999999793,-479284.95947656315,72215.91604926338,-407069.04342729977,259.3096968148292,332.42375028603897,1.0178761332118655,24.9
1200,2.3999999999999573,-476479.1103554694,73731.90721315239,-402747.203142317,264.75325040506334,332.42375028603897,1.0178761332118655,22.8
1300,2.5999999999999353,-473763.10596093815,75093.12977377395,-398669.9761871642,269.64106778387355,332.42375028603897,1.0178761332118655,23.3
1400,2.7999999999999132,-471832.3964882819,76847.11554243462,-394985.2809458473,275.9392018071082,332.42375028603897,1.0178761332118655,23.7
1500,2.999999999999891,-469622.7529335944,77499.64907758363,-392123.10385601077,278.2822901790062,332.42375028603897,1.0178761332118655,24.2
1600,3.199999999999869,-467452.2470742194,78379.36627726792,-389072.8807969515,281.4411395409296,332.42375028603897,1.0178761332118655,24.6
1700,3.399999999999847,-466517.40381250065,79629.45002613953,-386887.95378636115,285.9298846216111,332.42375028603897,1.0178761332118655,24.9
1800,3.599999999999825,-465020.3857460944,80078.82935040933,-384941.55639568507,287.54349589605323,332.42375028603897,1.0178761332118655,25.2
1900,3.799999999999803,-462938.95068750065,79508.3865372393,-383430.56415026134,285.4951752345468,332.42375028603897,1.0178761332118655,25.4
2000,3.999999999999781,-463571.4882851569,80648.71201960056,-382922.77626555634,289.58980521749413,332.42375028603897,1.0178761332118655,24.2
2100,4.1999999999997595,-462617.2900429694,80443.08233156684,-382174.20771140256,288.85143928686216,332.42375028603897,1.0178761332118655,24.4
2200,4.3999999999997375,-461955.0576210944,80893.07349607669,-381061.9841250177,290.46724753000353,332.42375028603897,1.0178761332118655,24.7
2300,4.599999999999715,-461275.65674218815,81148.72979531146,-380126.9269468767,291.3852467893101,332.42375028603897,1.0178761332118655,24.9
2400,4.799999999999693,-460793.4902382819,81235.80394492147,-379557.6862933604,291.69790876981284,332.42375028603897,1.0178761332118655,25.1
2500,4.999999999999671,-460435.44580468815,81283.91705396597,-379151.5287507222,291.87067118011913,332.42375028603897,1.0178761332118655,25.3
2600,5.199999999999649,-460603.9130898444,81872.3321636749,-378731.5809261695,293.98352596403964,332.42375028603897,1.0178761332118655,25.5
2700,5.399999999999627,-460443.44189843815,82564.15000493097,-377879.2918935072,296.4676746736513,332.42375028603897,1.0178761332118655,24.6
2800,5.599999999999605,-459546.9296914069,82655.38134191197,-376891.54834949493,296.79526409751753,332.42375028603897,1.0178761332118655,24.8
2900,5.799999999999583,-458947.0937539069,82272.29007896886,-376674.80367493804,295.41967704301805,332.42375028603897,1.0178761332118655,25
3000,5.999999999999561,-459091.7031289069,82895.5365231891,-376196.1666057178,297.6576026324605,332.42375028603897,1.0178761332118655,25.1
3100,6.199999999999539,-458806.97217187565,82692.09418220492,-376114.8779896707,296.92709093024905,332.42375028603897,1.0178761332118655,25.3
3200,6.399999999999517,-458305.63623437565,82871.45518500096,-375434.1810493747,297.57113243522303,332.42375028603897,1.0178761332118655,25.5
3300,6.599999999999495,-458431.0664101569,82650.76973916034,-375780.2966709966,296.77870495963253,332.42375028603897,1.0178761332118655,25.6
3400,6.799999999999473,-458288.4130898444,82988.10649172647,-375300.3065981179,297.98999875493314,332.42375028603897,1.0178761332118655,25.7
3500,6.999999999999451,-458293.9951210944,83063.0277631547,-375230.9673579397,298.25902272141974,332.42375028603897,1.0178761332118655,24.9
3600,7.199999999999429,-457264.2236367194,82875.93846692902,-374388.2851697904,297.5872308044068,332.42375028603897,1.0178761332118655,25.1
3700,7.399999999999407,-457250.6806679694,82490.83031243959,-374759.8503555298,296.2044015855203,332.42375028603897,1.0178761332118655,25.2
3800,7.599999999999385,-457740.5507851569,83754.92682581244,-373985.62395934446,300.74346307722504,332.42375028603897,1.0178761332118655,25.3
3900,7.799999999999363,-457145.9355507819,83192.4157954264,-373953.5197553555,298.7236235082733,332.42375028603897,1.0178761332118655,25.5
4000,7.999999999999341,-457543.9960976569,83172.22347572772,-374371.7726219292,298.6511178255166,332.42375028603897,1.0178761332118655,25.6
4100,8.199999999999408,-456886.1591835944,83054.54687752179,-373831.6123060726,298.2285699347973,332.42375028603897,1.0178761332118655,25.6
4200,8.399999999999475,-457408.22021875065,84282.07020760514,-373126.1500111455,302.636306067922,332.42375028603897,1.0178761332118655,25.8
4300,8.599999999999541,-456612.6757851569,83532.79044989892,-373079.885335258,299.94582566651377,332.42375028603897,1.0178761332118655,25.1
4400,8.799999999999608,-455871.49170312565,83083.85426259087,-372787.6374405348,298.33380558854867,332.42375028603897,1.0178761332118655,25.2
4500,8.999999999999675,-456178.8554726569,83446.46584788285,-372732.38962477405,299.6358551281469,332.42375028603897,1.0178761332118655,25.3
4600,9.199999999999742,-456469.6982460944,83218.26593060381,-373251.43231549056,298.8164450230057,332.42375028603897,1.0178761332118655,25.4
4700,9.399999999999809,-456465.2812539069,83627.16478991054,-372838.11646399635,300.2847008457585,332.42375028603897,1.0178761332118655,25.5
4800,9.599999999999875,-456637.9707070319,83880.51373887644,-372757.45696815546,301.1944149744263,332.42375028603897,1.0178761332118655,25.6
4900,9.799999999999942,-456605.2841835944,83477.43148990467,-373127.85269368975,299.7470451771504,332.42375028603897,1.0178761332118655,25.7
5000,10.000000000000009,-456951.1884804694,83480.44587859197,-373470.7426018774,299.75786910986983,332.42375028603897,1.0178761332118655,25.8
