#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,2.0000000000000013,-487515.9433632819,69318.20633542177,-418197.73702786013,248.90472975962948,332.42375028603897,1.0178761332118655,0
2000,3.999999999999781,-465886.5498085944,79280.65735288558,-386605.8924557088,284.67745541624015,332.42375028603897,1.0178761332118655,143
3000,5.999999999999561,-458985.3974648444,81301.2995944859,-377684.0978703585,291.933087632872,332.42375028603897,1.0178761332118655,143
4000,7.999999999999341,-457375.3212929694,83586.88545305957,-373788.4358399098,300.14006759594133,332.42375028603897,1.0178761332118655,142
5000,10.000000000000009,-456288.78662500065,82952.03393094498,-373336.75269405567,297.86047100937077,332.42375028603897,1.0178761332118655,142
6000,12.000000000000677,-456457.4560585944,82477.48273159086,-373979.97332700354,296.1564736863473,332.42375028603897,1.0178761332118655,142
7000,14.000000000001345,-456857.9355507819,83476.87670487748,-373381.0588459044,299.74505307976983,332.42375028603897,1.0178761332118655,142
8000,16.00000000000201,-456680.68896875065,83638.68969653395,-373041.9992722167,300.3260839674556,332.42375028603897,1.0178761332118655,130
9000,18.000000000000902,-456320.5429726569,83829.64063483808,-372490.9023378188,301.0117420969512,332.42375028603897,1.0178761332118655,131
10000,19.999999999999794,-455520.7929726569,83688.86235089181,-371831.9306217651,300.5062417013969,332.42375028603897,1.0178761332118655,132
11000,21.999999999998685,-456479.7402382819,84016.14329003997,-372463.59694824193,301.68142752948893,332.42375028603897,1.0178761332118655,133
12000,23.999999999997577,-455369.1416054694,83767.11592525436,-371602.02568021504,300.78723115292985,332.42375028603897,1.0178761332118655,133
13000,25.99999999999647,-456402.0488320319,84331.74918218065,-372070.2996498513,302.814691118476,332.42375028603897,1.0178761332118655,134
14000,27.99999999999536,-455846.9443398444,83694.56916779559,-372152.3751720488,300.52673348550843,332.42375028603897,1.0178761332118655,134
15000,29.99999999999425,-456383.8681679694,83448.82121131208,-372935.0469566573,299.6443126623047,332.42375028603897,1.0178761332118655,135
16000,31.999999999993143,-455953.64600000065,84251.42648048291,-371702.21951951773,302.5262719366106,332.42375028603897,1.0178761332118655,130
17000,33.99999999999559,-455917.9062539069,83891.5786682989,-372026.327585608,301.2341464304651,332.42375028603897,1.0178761332118655,131
18000,35.99999999999803,-455511.50537500065,83095.21179083589,-372416.29358416476,298.37458769541513,332.42375028603897,1.0178761332118655,131
19000,38.000000000000476,-456265.0732460944,82280.13255825907,-373984.94068783533,295.4478374685624,332.42375028603897,1.0178761332118655,132
20000,40.00000000000292,-455885.9921914069,83510.78163454682,-372375.2105568601,299.8667973920221,332.42375028603897,1.0178761332118655,132
21000,42.000000000005365,-456615.97021875065,83014.92191676405,-373601.0483019866,298.08628638952763,332.42375028603897,1.0178761332118655,132
22000,44.00000000000781,-456720.3154335944,84514.05899910361,-372206.2564344908,303.4693210939569,332.42375028603897,1.0178761332118655,133
23000,46.00000000001025,-457671.49756250065,84619.41630592075,-373052.0812565799,303.8476334215239,332.42375028603897,1.0178761332118655,133
24000,48.0000000000127,-455344.47412500065,84116.71404232929,-371227.76008267136,302.0425525101206,332.42375028603897,1.0178761332118655,130
25000,50.00000000001514,-456158.65674218815,83531.21885929978,-372627.43788288836,299.9401824689463,332.42375028603897,1.0178761332118655,131
26000,52.000000000017586,-455607.4892617194,83545.87508147431,-372061.6141802451,299.9928093791407,332.42375028603897,1.0178761332118655,131
27000,54.00000000002003,-455570.82275781315,83748.53278792548,-371822.2899698877,300.7205036505973,332.42375028603897,1.0178761332118655,132
28000,56.000000000022474,-456098.87842187565,83321.7716242763,-372777.10679759935,299.18810866051336,332.42375028603897,1.0178761332118655,132
29000,58.00000000002492,-456203.5029335944,83364.59957329393,-372838.90336030046,299.3418933534527,332.42375028603897,1.0178761332118655,132
30000,60.00000000002736,-455631.2802773444,83772.78400857945,-371858.49626876495,300.80758385423104,332.42375028603897,1.0178761332118655,133
31000,62.00000000002981,-456012.78271875065,83424.51184810209,-372588.27087064856,299.5570236829688,332.42375028603897,1.0178761332118655,130
32000,64.00000000003224,-456302.79346093815,83324.48104649468,-372978.31241444347,299.1978375332111,332.42375028603897,1.0178761332118655,130
33000,66.00000000002758,-455868.00732812565,82828.56046527356,-373039.4468628521,297.41710798499133,332.42375028603897,1.0178761332118655,131
34000,68.00000000002292,-456689.1337929694,83711.30086102663,-372977.8329319428,300.5868129047874,332.42375028603897,1.0178761332118655,131
35000,70.00000000001826,-455815.44385156315,83211.81010566489,-372603.63374589826,298.793263734182,332.42375028603897,1.0178761332118655,131
36000,72.0000000000136,-455533.4414101569,83368.16161293711,-372165.2797972198,299.3546837668469,332.42375028603897,1.0178761332118655,131
37000,74.00000000000894,-455901.33350000065,83596.81665396102,-372304.5168460396,300.1757281100724,332.42375028603897,1.0178761332118655,132
38000,76.00000000000428,-456813.7304726569,83784.68598722329,-373029.0444854336,300.8503209493547,332.42375028603897,1.0178761332118655,132
39000,77.99999999999962,-455061.3271523444,83846.1548224425,-371215.1723299019,301.0710405067079,332.42375028603897,1.0178761332118655,130
40000,79.99999999999496,-454167.0195351569,83871.66021383446,-370295.3593213224,301.16262413080096,332.42375028603897,1.0178761332118655,130
41000,81.9999999999903,-455574.5810585944,83474.2243795961,-372100.35667899833,299.735529228212,332.42375028603897,1.0178761332118655,130
42000,83.99999999998563,-456311.37842187565,83165.39873995236,-373145.9796819233,298.62661186808276,332.42375028603897,1.0178761332118655,130
43000,85.99999999998097,-456057.27392968815,84265.23761921306,-371792.0363104751,302.5758643587899,332.42375028603897,1.0178761332118655,131
44000,87.99999999997631,-455619.8027382819,84263.21028800623,-371356.59245027567,302.56858470813467,332.42375028603897,1.0178761332118655,131
45000,89.99999999997165,-455313.7597695319,84511.1465911665,-370802.6131783654,303.45886334917583,332.42375028603897,1.0178761332118655,131
46000,91.99999999996699,-456231.3857460944,83605.34395308123,-372626.04179301317,300.20634755617897,332.42375028603897,1.0178761332118655,131
47000,93.99999999996233,-456230.63428125065,83093.61825931026,-373137.0160219404,298.3688657133455,332.42375028603897,1.0178761332118655,130
48000,95.99999999995767,-456224.8867226569,84050.55217303266,-372174.33454962424,301.80498141490233,332.42375028603897,1.0178761332118655,130
49000,97.999999999953,-455114.3906289069,83690.67217196233,-371423.71845694457,300.51274032633665,332.42375028603897,1.0178761332118655,130
50000,99.99999999994834,-455573.46924218815,84396.226330741,-371177.24291144713,303.0462127934661,332.42375028603897,1.0178761332118655,131
