#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10100,20.199999999999683,-514346.81388241495,40260.62170866023,-474086.19217375474,144.56604831720753,332.42375028603897,1.0178761332118655,0
10200,20.399999999999572,-507189.37802962144,48841.23018386945,-458348.147845752,175.376915282814,332.42375028603897,1.0178761332118655,3.6
10300,20.59999999999946,-501086.7625839668,55311.41184156249,-445775.3507424043,198.60975557315558,332.42375028603897,1.0178761332118655,3.62
10400,20.79999999999935,-495338.6146706584,59744.79160815704,-435593.8230625014,214.528938296759,332.42375028603897,1.0178761332118655,3.31
10500,20.99999999999924,-490691.76541590516,63718.88037744674,-426972.8850384584,228.79891935158275,332.42375028603897,1.0178761332118655,3.39
10600,21.19999999999913,-487085.64534002845,67088.17771122881,-419997.4676287996,240.89724224076465,332.42375028603897,1.0178761332118655,3.43
10700,21.399999999999018,-483297.75755039905,69373.06808774767,-413924.6894626514,249.10172489782943,332.42375028603897,1.0178761332118655,3.45
10800,21.599999999998907,-480404.57004426065,71434.55841616487,-408970.01162809576,256.50403260633936,332.42375028603897,1.0178761332118655,3.47
10900,21.799999999998796,-477876.80088357325,72783.76633488119,-405093.03454869206,261.3487083438019,332.42375028603897,1.0178761332118655,3.48
11000,21.999999999998685,-475099.83364327473,73798.06353505504,-401301.7701082197,264.9908015809463,332.42375028603897,1.0178761332118655,3.5
11100,22.199999999998575,-472850.38067670976,75425.66292766243,-397424.7177490473,270.83511303086414,332.42375028603897,1.0178761332118655,3.51
11200,22.399999999998464,-470900.50640616234,77108.15154052984,-393792.3548656325,276.8765182496172,332.42375028603897,1.0178761332118655,3.46
11300,22.599999999998353,-469027.4529830555,78295.67692413788,-390731.77605891763,281.14063153696026,332.42375028603897,1.0178761332118655,3.47
11400,22.799999999998242,-467735.5841428059,78533.61090782659,-389201.9732349793,281.9949942944745,332.42375028603897,1.0178761332118655,3.48
11500,22.99999999999813,-466540.74230053043,79516.36437861918,-387024.37792191125,285.52382171225736,332.42375028603897,1.0178761332118655,3.49
11600,23.19999999999802,-465063.2417368642,79548.11554552503,-385515.12619133916,285.6378323890485,332.42375028603897,1.0178761332118655,3.49
11700,23.39999999999791,-464073.5971923828,79780.62503735634,-384292.97215502645,286.4727171226607,332.42375028603897,1.0178761332118655,3.5
11800,23.5999999999978,-463287.8715175197,80687.23340300262,-382600.6381145171,289.72812608631847,332.42375028603897,1.0178761332118655,3.5
11900,23.799999999997688,-461613.65837288473,80496.59568881855,-381117.0626840662,289.0435926680506,332.42375028603897,1.0178761332118655,3.51
12000,23.999999999997577,-461317.1563139894,81307.2905613306,-380009.8657526588,291.9545997299431,332.42375028603897,1.0178761332118655,3.48
12100,24.199999999997466,-461279.06485712033,81853.5971313065,-379425.46772581385,293.9162530437605,332.42375028603897,1.0178761332118655,3.48
12200,24.399999999997355,-460361.2116189593,81744.66537056366,-378616.5462483957,293.52510572614614,332.42375028603897,1.0178761332118655,3.49
12300,24.599999999997245,-459151.8619003606,81992.35923076302,-377159.5026695976,294.41451381379505,332.42375028603897,1.0178761332118655,3.49
12400,24.799999999997134,-458820.3277251953,82071.99409648473,-376748.3336287106,294.7004631448553,332.42375028603897,1.0178761332118655,3.5
12500,24.999999999997023,-459174.08097780566,82511.30289336941,-376662.77808443626,296.27791361783056,332.42375028603897,1.0178761332118655,3.5
12600,25.199999999996912,-457895.354747386,82248.43678155197,-375646.917965834,295.3340256844313,332.42375028603897,1.0178761332118655,3.5
12700,25.3999999999968,-457462.7059361132,82248.07849637589,-375214.6274397373,295.33273916996933,332.42375028603897,1.0178761332118655,3.48
12800,25.59999999999669,-457620.7139554894,83324.48818005003,-374296.22577543935,299.19786314806413,332.42375028603897,1.0178761332118655,3.49
12900,25.79999999999658,-456772.1449553038,83324.83357021204,-373447.31138509174,299.1991033596836,332.42375028603897,1.0178761332118655,3.49
13000,25.99999999999647,-456778.3911106659,83500.84434933626,-373277.54676132964,299.83111503062474,332.42375028603897,1.0178761332118655,3.49
13100,26.199999999996358,-456563.2814753139,82932.64876719531,-373630.6327081186,297.79086362626697,332.42375028603897,1.0178761332118655,3.49
13200,26.399999999996247,-456433.6555676654,83157.91400465312,-373275.7415630123,298.599736013737,332.42375028603897,1.0178761332118655,3.5
13300,26.599999999996136,-456813.5431729693,83703.5012784581,-373110.0418945112,300.5588065108818,332.42375028603897,1.0178761332118655,3.5
13400,26.799999999996025,-456568.21366241144,83781.67709175606,-372786.53657065536,300.8395167414454,332.42375028603897,1.0178761332118655,3.5
13500,26.999999999995914,-456443.6212102424,83405.91453768768,-373037.7066725547,299.4902452885517,332.42375028603897,1.0178761332118655,3.49
13600,27.199999999995804,-456027.6595793052,83465.50725455135,-372562.1523247539,299.70422816362526,332.42375028603897,1.0178761332118655,3.49
13700,27.399999999995693,-456242.09290292655,83715.29769415518,-372526.79520877136,300.60116455527503,332.42375028603897,1.0178761332118655,3.49
13800,27.599999999995582,-456834.03783560276,83902.83006612603,-372931.20776947675,301.2745474489512,332.42375028603897,1.0178761332118655,3.49
13900,27.79999999999547,-457068.823843,83644.52843417617,-373424.2954088238,300.3470494466825,332.42375028603897,1.0178761332118655,3.49
14000,27.99999999999536,-457009.49702535267,83746.49037929444,-373263.00664605823,300.7131698605984,332.42375028603897,1.0178761332118655,3.5
14100,28.19999999999525,-456658.71989998914,83936.7219565891,-372721.99794340006,301.39624494060195,332.42375028603897,1.0178761332118655,3.5
14200,28.39999999999514,-456696.79241596104,84534.86123873139,-372161.9311772296,303.54401685004575,332.42375028603897,1.0178761332118655,3.5
14300,28.599999999995028,-456341.534646321,84176.23826087509,-372165.29638544586,302.2562894244833,332.42375028603897,1.0178761332118655,3.49
14400,28.799999999994917,-455869.58407174103,83544.0789695181,-372325.5051022229,299.9863599802784,332.42375028603897,1.0178761332118655,3.49
14500,28.999999999994806,-456219.4673526633,84385.9348896956,-371833.5324629677,303.00925874506146,332.42375028603897,1.0178761332118655,3.49
14600,29.199999999994695,-455695.138664871,84294.84744790134,-371400.29121696966,302.6821860136265,332.42375028603897,1.0178761332118655,3.49
14700,29.399999999994584,-455915.8672361901,84108.89648803654,-371806.9707481536,302.01448158414763,332.42375028603897,1.0178761332118655,3.49
14800,29.599999999994473,-455004.8599468125,83115.17951352266,-371889.68043328985,298.4462869052189,332.42375028603897,1.0178761332118655,3.5
14900,29.799999999994363,-456483.1529648927,84291.22308781696,-372191.9298770757,302.6691718227661,332.42375028603897,1.0178761332118655,3.5
15000,29.99999999999425,-456233.9747954177,84012.95978036111,-372221.0150150566,301.66999632464115,332.42375028603897,1.0178761332118655,3.5
