#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
50,0.10000000000000007,-548097.2187539069,8895.505747013696,-539201.7130068932,31.94158607223291,332.42375028603897,1.0178761332118655,0
100,0.20000000000000015,-541193.4638710944,16266.255644929857,-524927.2082261646,58.408146712725795,332.42375028603897,1.0178761332118655,15.3
150,0.3000000000000002,-535206.0654335944,23123.316980378484,-512082.7484532159,83.03017732884243,332.42375028603897,1.0178761332118655,16
200,0.4000000000000003,-529557.0293007819,29141.59471969912,-500415.4345810828,104.6403411446151,332.42375028603897,1.0178761332118655,8.87
250,0.5000000000000003,-524486.1425820319,34305.92226598595,-490180.2203160459,123.18417861898263,332.42375028603897,1.0178761332118655,10
300,0.6000000000000004,-520314.0527382819,39236.94288814266,-481077.10985013924,140.89026797533538,332.42375028603897,1.0178761332118655,10.9
350,0.7000000000000005,-516105.1054726569,43381.55572827638,-472723.5497443805,155.77255927323668,332.42375028603897,1.0178761332118655,11.6
400,0.8000000000000006,-512732.7988320319,47539.946082014794,-465192.8527500171,170.7043222537136,332.42375028603897,1.0178761332118655,12.1
450,0.9000000000000007,-508805.8271523444,50613.70066051693,-458192.1264918275,181.741423372681,332.42375028603897,1.0178761332118655,12.5
500,1.0000000000000007,-505413.9091835944,53405.42186884332,-452008.4873147511,191.7658116201251,332.42375028603897,1.0178761332118655,12.9
550,1.1000000000000008,-502623.0390664069,56384.14345757442,-446238.8956088325,202.46167250961008,332.42375028603897,1.0178761332118655,13.1
600,1.2000000000000008,-499592.7646523444,58976.63006994259,-440616.13458240184,211.7706580383833,332.42375028603897,1.0178761332118655,12
650,1.300000000000001,-496673.3232460944,60726.81857702264,-435946.50466907176,218.05515702376113,332.42375028603897,1.0178761332118655,12.3
700,1.400000000000001,-494636.7705117194,62881.66820306273,-431755.1023086567,225.79269514248867,332.42375028603897,1.0178761332118655,12.5
750,1.500000000000001,-492248.6699257819,64518.399206794915,-427730.270718987,231.66979597515967,332.42375028603897,1.0178761332118655,12.7
800,1.6000000000000012,-490001.7031289069,66367.56718259258,-423634.1359463143,238.30970603095236,332.42375028603897,1.0178761332118655,12.9
850,1.7000000000000013,-487754.9150429694,67279.34815901135,-420475.56688395806,241.58368857512437,332.42375028603897,1.0178761332118655,13.1
900,1.8000000000000014,-485565.3789101569,68782.53277237562,-416782.8461377813,246.98125697379015,332.42375028603897,1.0178761332118655,13.2
