#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
40000,79.99999999999496,-456661.49756250065,83702.21800991934,-372959.2795525813,300.55419860733474,332.42375028603897,1.0178761332118655,0
80000,160.00000000003587,-456121.7695351569,84261.86867874098,-371859.9008564159,302.56376731730387,332.42375028603897,1.0178761332118655,220
120000,240.00000000041786,-455447.1562539069,83619.69180785958,-371827.4644460473,300.25786719445347,332.42375028603897,1.0178761332118655,220
160000,320.00000000079984,-455946.19287500065,84464.83625621139,-371481.35661878926,303.29257425982314,332.42375028603897,1.0178761332118655,220
200000,400.00000000118183,-455246.6191445319,83964.50883979187,-371282.11030474,301.49602084393365,332.42375028603897,1.0178761332118655,220
240000,480.0000000015638,-456116.0654335944,83762.96364487242,-372353.101788722,300.7723213293641,332.42375028603897,1.0178761332118655,220
280000,560.0000000005815,-456091.7099648444,83306.5926911422,-372785.11727370217,299.1336048230728,332.42375028603897,1.0178761332118655,220
320000,639.9999999986898,-455798.41943750065,83675.01458811422,-372123.4048493864,300.4565177712183,332.42375028603897,1.0178761332118655,220
360000,719.999999996798,-457199.1396523444,83628.69627386736,-373570.443378477,300.2902000301799,332.42375028603897,1.0178761332118655,219
400000,799.9999999949063,-455590.1240273444,82946.23442566028,-372643.8896016841,297.83964640394686,332.42375028603897,1.0178761332118655,220
440000,879.9999999930145,-456948.9433632819,83300.91840432603,-373648.0249589559,299.1132298465518,332.42375028603897,1.0178761332118655,220
480000,959.9999999911228,-456135.7412148444,83859.84444671083,-372275.89676813356,301.1201966001667,332.42375028603897,1.0178761332118655,221
520000,1039.9999999892311,-457263.1386757819,84165.46841001062,-373097.6702657713,302.21761752339575,332.42375028603897,1.0178761332118655,223
560000,1119.9999999873394,-455442.70752343815,83697.49149682152,-371745.21602661663,300.53722685449355,332.42375028603897,1.0178761332118655,225
600000,1199.9999999854476,-456938.20557031315,82804.73136823904,-374133.4742020741,297.33154352406035,332.42375028603897,1.0178761332118655,226
640000,1279.9999999835559,-456185.8427773444,83060.04168590836,-373125.80109143606,298.2483004481623,332.42375028603897,1.0178761332118655,227
680000,1359.9999999816641,-455482.7880898444,84228.44146803592,-371254.3466218085,302.4437383770439,332.42375028603897,1.0178761332118655,228
720000,1439.9999999797724,-455071.4033242194,84183.04195076344,-370888.36137345596,302.2807198112829,332.42375028603897,1.0178761332118655,230
760000,1519.9999999778806,-456447.5498085944,83215.09903380435,-373232.45077479,298.80507347094573,332.42375028603897,1.0178761332118655,231
800000,1599.9999999759889,-455844.2773476569,83497.221537717,-372347.05580993986,299.818106399924,332.42375028603897,1.0178761332118655,231
840000,1679.9999999740971,-454545.55810937565,83199.75353884365,-371345.804570532,298.74997155071225,332.42375028603897,1.0178761332118655,232
880000,1759.9999999722054,-455484.17627343815,83698.3804491696,-371785.79582426854,300.54041886501534,332.42375028603897,1.0178761332118655,233
920000,1839.9999999703136,-455345.4619179694,83096.3283477198,-372249.1335702496,298.37859697817277,332.42375028603897,1.0178761332118655,234
960000,1919.999999968422,-456389.6582070319,84175.7881553712,-372213.8700516607,302.25467320567543,332.42375028603897,1.0178761332118655,234
1000000,1999.9999999665301,-456845.5332070319,84164.29913467416,-372681.23407235777,302.21341894156535,332.42375028603897,1.0178761332118655,235
1040000,2079.9999999646384,-455697.0019570319,83831.57506602813,-371865.42689100374,301.01868816636147,332.42375028603897,1.0178761332118655,235
1080000,2159.9999999627466,-455447.93213281315,84210.3447383357,-371237.58739447745,302.378757445573,332.42375028603897,1.0178761332118655,236
1120000,2239.999999960855,-456612.6748085944,83787.02943547157,-372825.6453731228,300.85873569901105,332.42375028603897,1.0178761332118655,236
1160000,2319.999999958963,-457231.9404335944,83809.08636225737,-373422.85407133703,300.9379367298972,332.42375028603897,1.0178761332118655,237
1200000,2399.9999999570714,-454838.9902382819,83801.56308049173,-371037.42715779017,300.91092246461574,332.42375028603897,1.0178761332118655,237
1240000,2479.9999999551796,-455017.8418007819,83487.24386165553,-371530.59793912637,299.782279004857,332.42375028603897,1.0178761332118655,238
1280000,2559.999999953288,-456601.4814492194,83767.31053814068,-372834.1709110787,300.78792996021923,332.42375028603897,1.0178761332118655,238
1320000,2639.999999951396,-456014.8134804694,83066.20076070748,-372948.6127197619,298.27041617979313,332.42375028603897,1.0178761332118655,238
1360000,2719.9999999495044,-456186.7880898444,83033.04830330354,-373153.73978654086,298.1513738114568,332.42375028603897,1.0178761332118655,239
1400000,2799.9999999476127,-456567.65869531315,84823.96331669949,-371743.69537861366,304.58211172286167,332.42375028603897,1.0178761332118655,239
1440000,2879.999999945721,-456688.97607812565,84341.31261643989,-372347.66346168576,302.8490310725185,332.42375028603897,1.0178761332118655,239
1480000,2959.999999943829,-457046.6035195319,83316.62114283221,-373729.9823766997,299.16961454100647,332.42375028603897,1.0178761332118655,239
1520000,3039.9999999419374,-456514.53369531315,83294.02919991541,-373220.50449539773,299.08849239801214,332.42375028603897,1.0178761332118655,240
1560000,3119.9999999400457,-455748.1318398444,83419.02216701768,-372329.1096728267,299.5373115804922,332.42375028603897,1.0178761332118655,240
1600000,3199.999999938154,-456805.5283242194,83734.3292871897,-373071.1990370297,300.6695023523933,332.42375028603897,1.0178761332118655,240
1640000,3279.999999936262,-456041.93017968815,83811.14293004372,-372230.7872496444,300.9453213619608,332.42375028603897,1.0178761332118655,240
1680000,3359.9999999343704,-455798.77588281315,84330.63519341656,-371468.1406893966,302.8106910572087,332.42375028603897,1.0178761332118655,241
1720000,3439.9999999324787,-455269.67920312565,82979.97423659253,-372289.7049665331,297.96079781518785,332.42375028603897,1.0178761332118655,241
1760000,3519.999999930587,-456270.2529335944,83645.69646154821,-372624.5564720462,300.35124354737786,332.42375028603897,1.0178761332118655,241
1800000,3599.999999928695,-455561.0302773444,83022.64233401907,-372538.38794332533,298.11400852014924,332.42375028603897,1.0178761332118655,241
1840000,3679.9999999268034,-454319.7939492194,83393.21985570702,-370926.5740935124,299.4446617895718,332.42375028603897,1.0178761332118655,241
1880000,3759.9999999249117,-455052.7109414069,83777.89127297001,-371274.8196684369,300.82592279186593,332.42375028603897,1.0178761332118655,242
1920000,3839.99999992302,-455801.4931679694,83834.00893535919,-371967.4842326102,301.027427596017,332.42375028603897,1.0178761332118655,242
1960000,3919.999999921128,-456223.85010156315,84374.28490224318,-371849.56519932,302.96742648869116,332.42375028603897,1.0178761332118655,242
2000000,3999.9999999192364,-455316.8710976569,84210.68662288773,-371106.18447476916,302.3799850694042,332.42375028603897,1.0178761332118655,242
2040000,4079.9999999173447,-456359.65869531315,84155.09152580024,-372204.5671695129,302.18035666947765,332.42375028603897,1.0178761332118655,242
2080000,4159.999999930004,-455647.5156289069,83728.63099126343,-371918.88463764347,300.64904116502856,332.42375028603897,1.0178761332118655,242
2120000,4239.9999999463025,-456619.2939492194,83466.37935441395,-373152.91459480545,299.7073596609922,332.42375028603897,1.0178761332118655,242
2160000,4319.999999962601,-456237.5664101569,83563.32356660196,-372674.24284355494,300.0554626228556,332.42375028603897,1.0178761332118655,243
2200000,4399.999999978899,-455990.1884804694,83987.59872794151,-372002.5897525279,301.5789309865051,332.42375028603897,1.0178761332118655,243
2240000,4479.999999995197,-455248.1162148444,84455.61228064288,-370792.50393420155,303.259453218937,332.42375028603897,1.0178761332118655,243
2280000,4560.000000011495,-457738.1347695319,83445.03133195505,-374293.10343757685,299.6307041322077,332.42375028603897,1.0178761332118655,243
2320000,4640.000000027793,-456360.1132851569,83627.81598623272,-372732.2972989242,300.28703913252554,332.42375028603897,1.0178761332118655,243
2360000,4720.000000044091,-455225.9677773444,84189.11133599468,-371036.8564413497,302.30251348960576,332.42375028603897,1.0178761332118655,243
2400000,4800.0000000603895,-456442.30322656315,83291.03590631101,-373151.26732025214,299.07774421257744,332.42375028603897,1.0178761332118655,243
2440000,4880.000000076688,-456302.1962929694,83590.76798935665,-372711.42830361275,300.1540088344542,332.42375028603897,1.0178761332118655,243
2480000,4960.000000092986,-455877.7265664069,82680.10010393709,-373197.6264624698,296.8840231278953,332.42375028603897,1.0178761332118655,243
2520000,5040.000000109284,-455218.79639062565,83424.58928883495,-371794.2071017907,299.55730175370525,332.42375028603897,1.0178761332118655,244
2560000,5120.000000125582,-455816.3798867194,83851.09641315119,-371965.2834735682,301.0887845506605,332.42375028603897,1.0178761332118655,244
2600000,5200.00000014188,-455769.22021875065,83603.67037508992,-372165.54984366073,300.2003381468235,332.42375028603897,1.0178761332118655,244
2640000,5280.000000158178,-455720.4199257819,83872.05857092189,-371848.36135486,301.1640545336985,332.42375028603897,1.0178761332118655,244
2680000,5360.000000174477,-455592.2460976569,83500.41622117104,-372091.82987648586,299.82957772706624,332.42375028603897,1.0178761332118655,244
2720000,5440.000000190775,-455847.00342187565,83153.6737616423,-372693.32966023334,298.58451033787895,332.42375028603897,1.0178761332118655,244
2760000,5520.000000207073,-455483.02881250065,84536.81782211293,-370946.2109903877,303.55104246255917,332.42375028603897,1.0178761332118655,244
2800000,5600.000000223371,-456718.3818398444,84131.52721933983,-372586.85462050454,302.0957430067536,332.42375028603897,1.0178761332118655,244
2840000,5680.000000239669,-455212.2626992194,84108.83546430306,-371103.42723491637,302.01426246284177,332.42375028603897,1.0178761332118655,244
2880000,5760.000000255967,-456164.85693750065,83362.71986201731,-372802.13707548333,299.3351437698719,332.42375028603897,1.0178761332118655,244
2920000,5840.000000272265,-456367.1464882819,83846.3951887649,-372520.751299517,301.07190360339905,332.42375028603897,1.0178761332118655,244
2960000,5920.000000288564,-454852.67334375065,83185.72880707914,-371666.9445366715,298.69961216817273,332.42375028603897,1.0178761332118655,244
3000000,6000.000000304862,-457278.59814843815,83042.44501844535,-374236.1531299928,298.1851151179136,332.42375028603897,1.0178761332118655,244
3040000,6080.00000032116,-456144.41064843815,84759.41741396498,-371384.99323447316,304.35034316844343,332.42375028603897,1.0178761332118655,245
3080000,6160.000000337458,-457117.30615625065,83341.71290171298,-373775.59325453767,299.2597129118903,332.42375028603897,1.0178761332118655,245
3120000,6240.000000353756,-456791.8662148444,84358.00945439511,-372433.8567604493,302.9089853350246,332.42375028603897,1.0178761332118655,245
3160000,6320.000000370054,-455756.2343789069,83989.27567698446,-371766.95870192244,301.58495250048276,332.42375028603897,1.0178761332118655,245
3200000,6400.000000386352,-455985.1738320319,82514.06479295017,-373471.1090390817,296.2878309239052,332.42375028603897,1.0178761332118655,245
3240000,6480.000000402651,-455839.64892968815,83454.40277474151,-372385.2461549466,299.6643546918159,332.42375028603897,1.0178761332118655,245
3280000,6560.000000418949,-455462.7265664069,83546.20204298734,-371916.52452341956,299.9939834179877,332.42375028603897,1.0178761332118655,245
3320000,6640.000000435247,-456069.7607460944,83269.11179173819,-372800.6489543562,298.99902007787375,332.42375028603897,1.0178761332118655,245
3360000,6720.000000451545,-456666.9580117194,83403.64178841354,-373263.3162233059,299.48208440162466,332.42375028603897,1.0178761332118655,245
3400000,6800.000000467843,-456850.70264062565,82805.87245820381,-374044.83018242184,297.33564089911266,332.42375028603897,1.0178761332118655,245
3440000,6880.000000484141,-455442.9531289069,83941.40098506398,-371501.5521438429,301.4130461877728,332.42375028603897,1.0178761332118655,245
3480000,6960.0000005004395,-455518.4580117194,83076.58083409665,-372441.87717762275,298.3076884852725,332.42375028603897,1.0178761332118655,245
3520000,7040.000000516738,-455928.88916406315,84145.98761873785,-371782.9015453253,302.1476667652387,332.42375028603897,1.0178761332118655,245
3560000,7120.000000533036,-457389.31592187565,83336.63923114736,-374052.6766907283,299.2414946014667,332.42375028603897,1.0178761332118655,245
3600000,7200.000000549334,-456958.9511757819,84065.27251012146,-372893.67866566044,301.85783854607695,332.42375028603897,1.0178761332118655,245
3640000,7280.000000565632,-456775.05225000065,83402.11210896214,-373372.9401410385,299.4765916967409,332.42375028603897,1.0178761332118655,245
3680000,7360.00000058193,-456972.9091835944,83410.26858561751,-373562.64059797686,299.5058796100471,332.42375028603897,1.0178761332118655,245
3720000,7440.000000598228,-456631.2197304694,83995.27895422708,-372635.9407762423,301.60650880118266,332.42375028603897,1.0178761332118655,245
3760000,7520.0000006145265,-456765.0888710944,82741.15592769918,-374023.9329433952,297.1032596620926,332.42375028603897,1.0178761332118655,245
3800000,7600.000000630825,-456983.73486718815,83041.87576512301,-373941.85910206515,298.18307106842286,332.42375028603897,1.0178761332118655,246
3840000,7680.000000647123,-456443.0546914069,83753.38249595725,-372689.67219544965,300.73791776632356,332.42375028603897,1.0178761332118655,246
3880000,7760.000000663421,-457337.4130898444,83220.3061916841,-374117.1068981603,298.82377110167494,332.42375028603897,1.0178761332118655,246
3920000,7840.000000679719,-455988.73584375065,82802.50622107252,-373186.22962267813,297.3235535646624,332.42375028603897,1.0178761332118655,246
