#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
100,0.20000000000000015,-539591.8076210944,16855.532156750312,-522736.2754643441,60.52409458100491,332.42375028603897,1.0178761332118655,0
200,0.4000000000000003,-528512.4697304694,29646.39667103575,-498866.07305943366,106.45296152131074,332.42375028603897,1.0178761332118655,28.9
300,0.6000000000000004,-518994.1210976569,39676.97882649163,-479317.14227116527,142.47032943551352,332.42375028603897,1.0178761332118655,30
400,0.8000000000000006,-511156.8867226569,48178.57693078893,-462978.30979186797,172.9974894782247,332.42375028603897,1.0178761332118655,17.2
500,1.0000000000000007,-504330.1777382819,54645.01938495081,-449685.1583533311,196.21690320296915,332.42375028603897,1.0178761332118655,19.3
600,1.2000000000000008,-498260.8662148444,59095.53486089816,-439165.33135394624,212.19761606895767,332.42375028603897,1.0178761332118655,20.8
700,1.400000000000001,-493580.5156289069,63329.973408407765,-430250.54222049913,227.4024495185078,332.42375028603897,1.0178761332118655,21.8
800,1.6000000000000012,-489267.8359414069,66544.12554393226,-422723.71039747464,238.94368393573836,332.42375028603897,1.0178761332118655,22.8
900,1.8000000000000014,-485399.21826562565,68646.27466872841,-416752.94359689724,246.49198744044767,332.42375028603897,1.0178761332118655,23.6
1000,2.0000000000000013,-481971.9003945319,70667.08692479116,-411304.81346974074,253.74823013744341,332.42375028603897,1.0178761332118655,24.2
1100,2.1999999999999793,-479076.1376992194,72665.97172444599,-406410.1659747734,260.92573670002275,332.42375028603897,1.0178761332118655,24.7
1200,2.3999999999999573,-476510.55322656315,73681.07859759685,-402829.4746289663,264.57073727485215,332.42375028603897,1.0178761332118655,22.4
1300,2.5999999999999353,-474214.8964882819,74613.75396666466,-399601.14252161724,267.9197464740797,332.42375028603897,1.0178761332118655,22.9
1400,2.7999999999999132,-472773.9287148444,76209.70643161895,-396564.22228322545,273.6504215448753,332.42375028603897,1.0178761332118655,23.3
1500,2.999999999999891,-470849.3798867194,76803.69401900505,-394045.68586771435,275.7832857335922,332.42375028603897,1.0178761332118655,23.5
1600,3.199999999999869,-468861.8291054694,77391.57584856928,-391470.2532569001,277.8942256389069,332.42375028603897,1.0178761332118655,23.8
1700,3.399999999999847,-467818.92139062565,78784.91969301493,-389034.0016976107,282.89738269386334,332.42375028603897,1.0178761332118655,24
1800,3.599999999999825,-466123.7031289069,78812.74221101787,-387310.960917889,282.9972865530492,332.42375028603897,1.0178761332118655,24.3
1900,3.799999999999803,-464843.7460976569,79751.83335722052,-385091.9127404364,286.3693332392282,332.42375028603897,1.0178761332118655,24.5
2000,3.999999999999781,-464053.1054726569,80805.48049768856,-383247.6249749683,290.1527224904038,332.42375028603897,1.0178761332118655,23.3
2100,4.1999999999997595,-462269.3359414069,81376.90587997879,-380892.4300614281,292.20457131737004,332.42375028603897,1.0178761332118655,23.5
2200,4.3999999999997375,-461628.0498085944,81810.40063870477,-379817.6491698896,293.7611450009244,332.42375028603897,1.0178761332118655,23.7
2300,4.599999999999715,-460732.8359414069,81895.3431670717,-378837.4927743352,294.06615285075196,332.42375028603897,1.0178761332118655,23.9
2400,4.799999999999693,-460328.9140664069,82251.02930604096,-378077.88476036594,295.3433348059658,332.42375028603897,1.0178761332118655,24.1
2500,4.999999999999671,-459731.7617226569,81981.23046380994,-377750.531258847,294.3745531327929,332.42375028603897,1.0178761332118655,24.2
2600,5.199999999999649,-460445.9501992194,82484.22642670877,-377961.72377251065,296.18068864659574,332.42375028603897,1.0178761332118655,24.4
2700,5.399999999999627,-459526.98389062565,81863.52410697436,-377663.4597836513,293.9518983861108,332.42375028603897,1.0178761332118655,23.5
2800,5.599999999999605,-459118.75146875065,82493.18703261693,-376625.5644361337,296.21286399142883,332.42375028603897,1.0178761332118655,23.6
2900,5.799999999999583,-458858.81982812565,82523.91672496678,-376334.90310315887,296.32320680285306,332.42375028603897,1.0178761332118655,23.8
3000,5.999999999999561,-458263.09033593815,81806.09131650039,-376456.99901943776,293.745671278573,332.42375028603897,1.0178761332118655,24
3100,6.199999999999539,-458199.1572304694,82362.0027387187,-375837.1544917507,295.74181326828335,332.42375028603897,1.0178761332118655,24.1
3200,6.399999999999517,-458137.0293007819,82941.19896755216,-375195.83033322974,297.82156530511475,332.42375028603897,1.0178761332118655,24.2
3300,6.599999999999495,-457362.84424218815,82735.39610746136,-374627.4481347268,297.08257755596856,332.42375028603897,1.0178761332118655,24.4
3400,6.799999999999473,-456898.3007851569,83046.27628354699,-373852.0245016099,298.19887225410014,332.42375028603897,1.0178761332118655,24.5
3500,6.999999999999451,-457898.62060937565,83566.34843801102,-374332.27217136463,300.06632419646564,332.42375028603897,1.0178761332118655,23.8
3600,7.199999999999429,-456917.1484414069,82930.41289053613,-373986.73555087077,297.78283513988436,332.42375028603897,1.0178761332118655,24
3700,7.399999999999407,-457366.5449257819,83278.34370302898,-374088.2012227529,299.03216961399824,332.42375028603897,1.0178761332118655,24.1
3800,7.599999999999385,-457074.5986367194,82883.17405667854,-374191.42458004085,297.61321203800276,332.42375028603897,1.0178761332118655,24.2
3900,7.799999999999363,-457089.90771875065,83813.8837767553,-373276.02394199534,300.9551630723299,332.42375028603897,1.0178761332118655,24.4
4000,7.999999999999341,-456743.8339882819,83625.70230799273,-373118.13168028917,300.2794494307872,332.42375028603897,1.0178761332118655,24.5
4100,8.199999999999408,-456491.2158242194,84021.57769779826,-372469.63812642114,301.70094115896654,332.42375028603897,1.0178761332118655,24.6
4200,8.399999999999475,-456528.88916406315,83588.76044726628,-372940.12871679687,300.14680024167745,332.42375028603897,1.0178761332118655,24.7
4300,8.599999999999541,-455746.7255898444,83078.16169978795,-372668.56389005645,298.313364987428,332.42375028603897,1.0178761332118655,24.1
4400,8.799999999999608,-455943.5380898444,83087.5055679383,-372856.0325219061,298.34691653326024,332.42375028603897,1.0178761332118655,24.2
4500,8.999999999999675,-456076.2793007819,83098.68697162144,-372977.5923291604,298.38706621988973,332.42375028603897,1.0178761332118655,24.3
4600,9.199999999999742,-456464.0185585944,83276.94587343978,-373187.0726851546,299.02715034973073,332.42375028603897,1.0178761332118655,24.4
4700,9.399999999999809,-455842.2558632819,83735.09879075433,-372107.15707252757,300.6722654515404,332.42375028603897,1.0178761332118655,24.5
4800,9.599999999999875,-455792.7334023444,84085.5872609241,-371707.1461414203,301.93078384899195,332.42375028603897,1.0178761332118655,24.6
4900,9.799999999999942,-455869.29248437565,84174.31122398627,-371694.9812603894,302.24936990620085,332.42375028603897,1.0178761332118655,24.7
5000,10.000000000000009,-455535.9716835944,83543.67430539045,-371992.29737820395,299.98490693034154,332.42375028603897,1.0178761332118655,24.8
