#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,2.0000000000000013,-486794.8818398444,69253.67260497366,-417541.20923487074,248.67300491291545,332.42375028603897,1.0178761332118655,0
2000,3.999999999999781,-465733.6171914069,80214.21155678923,-385519.40563461767,288.0296202964769,332.42375028603897,1.0178761332118655,136
3000,5.999999999999561,-459069.9628945319,82565.4527515741,-376504.5101429578,296.4723525183085,332.42375028603897,1.0178761332118655,134
4000,7.999999999999341,-457084.47119531315,82790.80526483868,-374293.66593047447,297.2815382918606,332.42375028603897,1.0178761332118655,133
5000,10.000000000000009,-455761.3691445319,82339.14762936434,-373422.22151516756,295.65974615895936,332.42375028603897,1.0178761332118655,132
6000,12.000000000000677,-457600.18896875065,82931.04307117825,-374669.1458975724,297.785097964483,332.42375028603897,1.0178761332118655,132
7000,14.000000000001345,-457551.28564843815,83765.95446103718,-373785.33118740097,300.78306061891885,332.42375028603897,1.0178761332118655,132
8000,16.00000000000201,-457192.0537148444,83980.35561217007,-373211.69810267433,301.55292272880456,332.42375028603897,1.0178761332118655,131
9000,18.000000000000902,-455645.94287500065,84009.26355914745,-371636.67931585317,301.6567240980365,332.42375028603897,1.0178761332118655,122
10000,19.999999999999794,-456860.0214882819,83054.39703501062,-373805.6244532713,298.2280318869781,332.42375028603897,1.0178761332118655,123
11000,21.999999999998685,-456498.4765664069,83576.06568861438,-372922.4108777925,300.10121646738986,332.42375028603897,1.0178761332118655,124
12000,23.999999999997577,-456679.4365273444,83330.33712818939,-373349.099399155,299.2188652906897,332.42375028603897,1.0178761332118655,125
13000,25.99999999999647,-456163.1494179694,83340.99759129726,-372822.15182667214,299.25714440709004,332.42375028603897,1.0178761332118655,125
14000,27.99999999999536,-455660.44287500065,83266.53599250515,-372393.9068824955,298.98977101264387,332.42375028603897,1.0178761332118655,126
15000,29.99999999999425,-455456.9277382819,83689.0970699024,-371767.8306683795,300.5070845199722,332.42375028603897,1.0178761332118655,126
16000,31.999999999993143,-455835.27100000065,83957.1640844394,-371878.10691556125,301.4696476233499,332.42375028603897,1.0178761332118655,121
17000,33.99999999999559,-456018.67725000065,83285.15548891661,-372733.52176108403,299.0566290715517,332.42375028603897,1.0178761332118655,122
18000,35.99999999999803,-457125.3418007819,84151.75775311375,-372973.58404766815,302.16838590691066,332.42375028603897,1.0178761332118655,123
19000,38.000000000000476,-455699.45459375065,83918.99991429254,-371780.4546794581,301.33260941998174,332.42375028603897,1.0178761332118655,124
20000,40.00000000000292,-455937.5732460944,83939.48453051946,-371998.08871557494,301.40616466810116,332.42375028603897,1.0178761332118655,124
21000,42.000000000005365,-455393.1689492194,83179.83669704862,-372213.3322521708,298.67845504174966,332.42375028603897,1.0178761332118655,125
22000,44.00000000000781,-456546.7871132819,84023.471845694,-372523.3152675879,301.7077425809167,332.42375028603897,1.0178761332118655,125
23000,46.00000000001025,-455601.3564492194,83900.65197416418,-371700.7044750552,301.2667264532876,332.42375028603897,1.0178761332118655,126
24000,48.0000000000127,-456317.7011757819,84048.38715884951,-372269.3140169324,301.79720737834435,332.42375028603897,1.0178761332118655,123
25000,50.00000000001514,-455827.4394570319,83574.69055335922,-372252.7489036727,300.09627869292683,332.42375028603897,1.0178761332118655,123
26000,52.000000000017586,-455765.03662500065,84115.80953178351,-371649.22709321714,302.0393046339151,332.42375028603897,1.0178761332118655,123
