#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
40000,79.99999999999496,-555903.4221411552,84654.32642893499,-471249.09571222024,300.6607371888642,333.157565933456,1.051463325144234,0
80000,160.00000000003587,-555505.259543499,84448.78618811886,-471056.4733553801,299.93073456604924,333.157565933456,1.051463325144234,248
120000,240.00000000041786,-555085.0285864677,83896.37150104891,-471188.6570854188,297.96876269698197,333.157565933456,1.051463325144234,248
160000,320.00000000079984,-555063.228293499,84047.08229651838,-471016.1459969806,298.50403148689094,333.157565933456,1.051463325144234,246
200000,400.00000000118183,-554793.9519263115,84409.61783575115,-470384.3340905603,299.79162312078563,333.157565933456,1.051463325144234,247
240000,480.0000000015638,-555297.4905005302,83881.61146681942,-471415.8790337108,297.91634053547443,333.157565933456,1.051463325144234,247
280000,560.0000000005815,-554131.048605999,85125.01673227588,-469006.0318737231,302.33245438938934,333.157565933456,1.051463325144234,247
320000,639.9999999986898,-555249.265402874,84204.53813561855,-471044.7272672554,299.06325616748995,333.157565933456,1.051463325144234,247
360000,719.999999996798,-555756.646262249,84217.90614643507,-471538.7401158139,299.11073437866224,333.157565933456,1.051463325144234,248
400000,799.9999999949063,-554856.3137427177,84689.9842889685,-470166.32945374923,300.7873806687252,333.157565933456,1.051463325144234,248
440000,879.9999999930145,-555196.8694067802,84357.07819083128,-470839.79121594894,299.60502180884305,333.157565933456,1.051463325144234,248
480000,959.9999999911228,-554069.3156958427,84747.02355120145,-469322.2921446413,300.989962950755,333.157565933456,1.051463325144234,248
520000,1039.9999999892311,-555123.482199749,84287.2595238972,-470836.2226758518,299.35705182602635,333.157565933456,1.051463325144234,248
560000,1119.9999999873394,-556994.4577856865,84442.82797487313,-472551.62981081335,299.90957320475377,333.157565933456,1.051463325144234,248
600000,1199.9999999854476,-555595.2898169365,84290.23033724842,-471305.05947968806,299.36760305205235,333.157565933456,1.051463325144234,248
640000,1279.9999999835559,-554568.7688208427,84030.86079119655,-470537.90802964615,298.4464187226754,333.157565933456,1.051463325144234,248
680000,1359.9999999816641,-556376.4572974052,84607.62662584809,-471768.8306715571,300.4948768269077,333.157565933456,1.051463325144234,248
720000,1439.9999999797724,-555025.4006567802,84577.7123899603,-470447.6882668199,300.3886325675312,333.157565933456,1.051463325144234,248
760000,1519.9999999778806,-555649.331809124,84998.65899773489,-470650.6728113891,301.88367863014327,333.157565933456,1.051463325144234,248
800000,1599.9999999759889,-555501.7326880302,84363.1950780697,-471138.53760996053,299.6267467212484,333.157565933456,1.051463325144234,248
840000,1679.9999999740971,-555944.7546606865,85027.23323534848,-470917.521425338,301.98516371316174,333.157565933456,1.051463325144234,248
880000,1759.9999999722054,-554996.7414770927,84571.11950070166,-470425.62197639106,300.36521707267906,333.157565933456,1.051463325144234,248
920000,1839.9999999703136,-554821.4690161552,84148.81299045635,-470672.6560256989,298.8653411413928,333.157565933456,1.051463325144234,248
960000,1919.999999968422,-554122.540793499,85535.05785175647,-468587.4829417425,303.78876820654875,333.157565933456,1.051463325144234,248
1000000,1999.9999999665301,-556360.7815161552,84721.85874610301,-471638.9227700522,300.90058690618315,333.157565933456,1.051463325144234,248
1040000,2079.9999999646384,-554821.482199749,84634.04737149295,-470187.434828256,300.5887135059974,333.157565933456,1.051463325144234,248
1080000,2159.9999999627466,-555877.173605999,85100.78664655727,-470776.3869594417,302.24639812101395,333.157565933456,1.051463325144234,248
1120000,2239.999999960855,-555593.3987036552,84227.34475539112,-471366.0539482641,299.1442568133266,333.157565933456,1.051463325144234,249
1160000,2319.999999958963,-556389.1277075615,84834.15885800385,-471554.9688495576,301.299435209097,333.157565933456,1.051463325144234,248
1200000,2399.9999999570714,-555518.8952856865,83981.34270951792,-471537.55257616856,298.2705488815259,333.157565933456,1.051463325144234,248
1240000,2479.9999999551796,-554970.107199749,85658.60090697283,-469311.50629277615,304.22754726986216,333.157565933456,1.051463325144234,248
1280000,2559.999999953288,-556085.234152874,84126.08124945604,-471959.15290341794,298.78460643715437,333.157565933456,1.051463325144234,249
1320000,2639.999999951396,-555188.5984106865,84773.52076244162,-470415.07764824486,301.0840712072492,333.157565933456,1.051463325144234,249
1360000,2719.9999999495044,-555233.6628638115,84334.19695901911,-470899.46590479236,299.52375616874366,333.157565933456,1.051463325144234,249
1400000,2799.9999999476127,-554464.2942114677,84871.75464223145,-469592.5395692363,301.4329614761869,333.157565933456,1.051463325144234,249
1440000,2879.999999945721,-555377.202902874,84163.15057297627,-471214.0523298977,298.91626291127494,333.157565933456,1.051463325144234,249
1480000,2959.999999943829,-556210.271262249,84787.82636106206,-471422.4449011869,301.1348793821954,333.157565933456,1.051463325144234,249
1520000,3039.9999999419374,-555844.5495825615,84727.12784268474,-471117.42173987674,300.91930078094197,333.157565933456,1.051463325144234,249
1560000,3119.9999999400457,-555341.1535864677,84009.42387625086,-471331.72971021687,298.3702827598426,333.157565933456,1.051463325144234,249
1600000,3199.999999938154,-556111.615012249,84605.45406388407,-471506.1609483649,300.48716069343595,333.157565933456,1.051463325144234,249
1640000,3279.999999936262,-555793.9895239677,85207.93559985817,-470586.05392410955,302.6269514210926,333.157565933456,1.051463325144234,249
1680000,3359.9999999343704,-554833.634543499,85009.82399557283,-469823.8105479261,301.9233325571459,333.157565933456,1.051463325144234,249
1720000,3439.9999999324787,-556279.765402874,84802.30753821088,-471477.4578646631,301.1863111468859,333.157565933456,1.051463325144234,249
1760000,3519.999999930587,-555395.4299536552,84327.90155485703,-471067.5283987982,299.50139723050484,333.157565933456,1.051463325144234,249
1800000,3599.999999928695,-555778.099387249,84266.3148830607,-471511.7845041883,299.2826642380589,333.157565933456,1.051463325144234,249
1840000,3679.9999999268034,-554028.593527874,83453.49692346371,-470575.09660441027,296.39583662697476,333.157565933456,1.051463325144234,249
1880000,3759.9999999249117,-555835.0637427177,84516.91702086624,-471318.1467218515,300.17270998849045,333.157565933456,1.051463325144234,249
1920000,3839.99999992302,-556126.2121802177,84398.33544681338,-471727.87673340435,299.7515522641811,333.157565933456,1.051463325144234,249
1960000,3919.999999921128,-555031.019309124,83926.96142172356,-471104.0578874004,298.0774067378546,333.157565933456,1.051463325144234,249
2000000,3999.9999999192364,-555412.5417700615,84154.98478168168,-471257.5569883798,298.8872610523749,333.157565933456,1.051463325144234,249
2040000,4079.9999999173447,-556163.9533911552,84007.62530528754,-472156.3280858677,298.3638949035507,333.157565933456,1.051463325144234,249
2080000,4159.999999930004,-555250.6042700615,84176.48266567988,-471074.1216043816,298.9636135546458,333.157565933456,1.051463325144234,249
2120000,4239.9999999463025,-554095.1589575615,85018.23646570952,-469076.92249185196,301.9532105277065,333.157565933456,1.051463325144234,249
2160000,4319.999999962601,-555466.1721411552,84532.8904221775,-470933.2817189777,300.229441579376,333.157565933456,1.051463325144234,249
2200000,4399.999999978899,-555454.0827856865,83676.68827359419,-471777.3945120923,297.1885294366062,333.157565933456,1.051463325144234,249
2240000,4479.999999995197,-555562.8440161552,84515.8509827382,-471046.99303341703,300.16892381685614,333.157565933456,1.051463325144234,249
2280000,4560.000000011495,-556081.659934124,84217.34716394718,-471864.3127701768,299.1087490804032,333.157565933456,1.051463325144234,249
2320000,4640.000000027793,-554994.808371624,84656.69537788176,-470338.1129937422,300.6691508159845,333.157565933456,1.051463325144234,249
2360000,4720.000000044091,-555167.3835669365,84833.92898487276,-470333.4545820637,301.2986187850822,333.157565933456,1.051463325144234,249
2400000,4800.0000000603895,-554446.4206763115,83989.39663829523,-470457.0240380162,298.29915344629654,333.157565933456,1.051463325144234,249
2440000,4880.000000076688,-555267.4929419365,84308.709732818,-470958.78320911847,299.43323500412293,333.157565933456,1.051463325144234,249
2480000,4960.000000092986,-556233.0158911552,84979.51289954386,-471253.50299161137,301.8156787978932,333.157565933456,1.051463325144234,249
2520000,5040.000000109284,-555728.038840374,84026.63839091687,-471701.4004494571,298.43142232456614,333.157565933456,1.051463325144234,249
2560000,5120.000000125582,-555688.4968481865,84111.00823831843,-471577.48860986804,298.7310726978706,333.157565933456,1.051463325144234,249
2600000,5200.00000014188,-554830.8698950615,83985.53469062918,-470845.3352044323,298.2854372420428,333.157565933456,1.051463325144234,249
2640000,5280.000000158178,-553960.222434124,84065.10902715201,-469895.11340697197,298.56805574117357,333.157565933456,1.051463325144234,249
2680000,5360.000000174477,-556479.781027874,84511.53051797143,-471968.25050990254,300.15357913009797,333.157565933456,1.051463325144234,249
2720000,5440.000000190775,-554700.1980200615,84670.62457899109,-470029.5734410704,300.71862216671934,333.157565933456,1.051463325144234,249
2760000,5520.000000207073,-555380.1037817802,85011.43984959953,-470368.66393218073,301.9290714707177,333.157565933456,1.051463325144234,249
2800000,5600.000000223371,-555193.120871624,85039.54705720798,-470153.573814416,302.02889783655587,333.157565933456,1.051463325144234,249
2840000,5680.000000239669,-554813.7707739677,84788.10943488701,-470025.6613390807,301.1358847553225,333.157565933456,1.051463325144234,249
2880000,5760.000000255967,-556183.1760474052,84993.80136678135,-471189.3746806239,301.8664261285277,333.157565933456,1.051463325144234,249
2920000,5840.000000272265,-555665.0398169365,85099.04798778614,-470565.99182915036,302.2402230505846,333.157565933456,1.051463325144234,249
2960000,5920.000000288564,-554762.0300513115,84385.72678410396,-470376.3032672075,299.70677097555597,333.157565933456,1.051463325144234,249
3000000,6000.000000304862,-556254.040793499,84698.09219155228,-471555.9486019467,300.8161769284172,333.157565933456,1.051463325144234,249
3040000,6080.00000032116,-554110.5437231865,85168.09093353234,-468942.45278965414,302.48543795975013,333.157565933456,1.051463325144234,249
3080000,6160.000000337458,-556265.331809124,84353.85291443017,-471911.4788946938,299.5935668245404,333.157565933456,1.051463325144234,249
3120000,6240.000000353756,-555718.2453833427,85101.856127813,-470616.38925552974,302.25019652135944,333.157565933456,1.051463325144234,249
